,extracted_reference,top_match,top_names,top_scores,top_indexes,second_match,second_names,second_scores,second_indexes,third_match
0,armstrong-elizabeth-a-and-suzanna-m-crage-2006-movements-and-memory-the-making-of-the-stonewall-myth-american-sociological-review-71-5-724-51,"('armstrong-movements-and-memory-the-making-of-the-stonewall-myth', 61.76470588235294, 4705)",armstrong-movements-and-memory-the-making-of-the-stonewall-myth,61.76470588235294,4705,"('-horowitz-jonathan-2018-relative-education-and-the-advantage-of-a-college-degree-american-sociological-review-83-4-771-801', 55.513307984790885, 5997)",-horowitz-jonathan-2018-relative-education-and-the-advantage-of-a-college-degree-american-sociological-review-83-4-771-801,55.513307984790885,5997,"('munsch-correction-her-support-his-support-money-masculinity-and-marital-infidelity-i-american-sociological-review-i-80-3-469-95', 52.23880597014925, 5781)"
1,barbalet-jack-m-1999-boredom-and-social-meaning-british-journal-of-sociology-50-4-631-46,"('barbalet-boredom-and-social-meaning', 56.91056910569105, 124781)",barbalet-boredom-and-social-meaning,56.91056910569105,124781,"('barbalet-boredom-and-social-meaning', 56.91056910569105, 124875)",barbalet-boredom-and-social-meaning,56.91056910569105,124875,"('savage-the-fall-and-rise-of-class-analysis-in-british-sociology-1950-2016', 54.658385093167695, 242717)"
2,barton-keith-c-and-alan-w-mccully-2005-history-identity-and-the-school-curriculum-in-northern-ireland-an-empirical-study-of-secondary-students-ideas-and-perspectives-journal-of-curriculum-studies-37-1-85-116,"('wodtke-social-relations-technical-divisions-and-class-stratification-in-the-united-states-an-empirical-test-of-the-death-and-decomposition-of-class-hypotheses', 48.21917808219178, 17873)",wodtke-social-relations-technical-divisions-and-class-stratification-in-the-united-states-an-empirical-test-of-the-death-and-decomposition-of-class-hypotheses,48.21917808219178,17873,"('martin-understanding-class-segmentation-in-the-labour-market-an-empirical-study-of-earnings-determination-in-australia', 47.38461538461538, 39423)",martin-understanding-class-segmentation-in-the-labour-market-an-empirical-study-of-earnings-determination-in-australia,47.38461538461538,39423,"('martin-understanding-class-segmentation-in-the-labour-market-an-empirical-study-of-earnings-determination-in-australia', 47.38461538461538, 40713)"
3,bauman-zygmunt-2000-modernity-and-the-holocaust-ithaca-n-y-cornell-university-press,"('hann-zoltan-barany-and-robert-g-moser-eds-ethnic-politics-after-communism-ithaca-ny-cornell-university-press-2005', 61.224489795918366, 120714)",hann-zoltan-barany-and-robert-g-moser-eds-ethnic-politics-after-communism-ithaca-ny-cornell-university-press-2005,61.224489795918366,120714,"('banks-book-review-shulman-d-2007-from-hire-to-liar-the-role-of-deception-in-the-workplace-new-york-cornell-university-press-214-pp', 58.21596244131455, 66235)",banks-book-review-shulman-d-2007-from-hire-to-liar-the-role-of-deception-in-the-workplace-new-york-cornell-university-press-214-pp,58.21596244131455,66235,"('carty-the-next-upsurge-labor-and-the-new-social-movements-by-dan-clawson-ithaca-n-y-cornell-university-press-2003-pp-xii-235', 57.00483091787439, 26819)"
4,beeman-angie-2015-walk-the-walk-but-dont-talk-the-talk-the-strategic-use-of-color-blind-ideology-in-an-interracial-social-movement-organization-sociological,"('beeman-walk-the-walk-but-don-t-talk-the-talk-the-strategic-use-of-color-blind-ideology-in-an-interracial-social-movement-organization', 91.34948096885813, 150384)",beeman-walk-the-walk-but-don-t-talk-the-talk-the-strategic-use-of-color-blind-ideology-in-an-interracial-social-movement-organization,91.34948096885813,150384,"('linneman-are-we-thinking-straight-the-politics-of-straightness-in-a-lesbian-and-gay-social-movement-organization', 55.970149253731336, 253172)",linneman-are-we-thinking-straight-the-politics-of-straightness-in-a-lesbian-and-gay-social-movement-organization,55.970149253731336,253172,"('garner-now-we-are-almost-fifty-reflections-on-a-theory-of-the-transformation-of-social-movement-organizations', 52.83018867924528, 18311)"
5,forum-30-1-127-47,"('-erratum-for-ssqu13177', 46.15384615384615, 146425)",-erratum-for-ssqu13177,46.15384615384615,146425,"('-volume-37', 44.44444444444444, 137523)",-volume-37,44.44444444444444,137523,"('-volume-32', 44.44444444444444, 137527)"
6,bell-joyce-m-and-douglas-hartmann-2007-diversity-in-everyday-discourse-the-cultural-ambiguities-and-consequences-of-happy-talk-american-sociological,"('bell-diversity-in-everyday-discourse-the-cultural-ambiguities-and-consequences-of-happy-talk', 76.66666666666666, 4636)",bell-diversity-in-everyday-discourse-the-cultural-ambiguities-and-consequences-of-happy-talk,76.66666666666666,4636,"('smelser-diversity-and-its-discontents-cultural-conflict-and-common-ground-in-contemporary-american-society', 51.96850393700787, 246199)",smelser-diversity-and-its-discontents-cultural-conflict-and-common-ground-in-contemporary-american-society,51.96850393700787,246199,"('lee-the-success-frame-and-achievement-paradox-the-costs-and-consequences-for-asian-americans', 51.66666666666666, 61788)"
7,review-72-6-895-914,"('-reviewers-2014-15', 54.054054054054056, 52267)",-reviewers-2014-15,54.054054054054056,52267,"('-reviewers-2016', 52.94117647058824, 52428)",-reviewers-2016,52.94117647058824,52428,"('-reviewers-for-volume-54', 51.162790697674424, 188960)"
8,ben-yehuda-nachman-1996-masada-myth-collective-memory-and-mythmaking-in-israel-madison-university-of-wisconsin-press,"('schwartz-the-masada-myth-collective-memory-and-mythmaking-in-israel-nachman-ben-yehuda', 67.32673267326732, 28357)",schwartz-the-masada-myth-collective-memory-and-mythmaking-in-israel-nachman-ben-yehuda,67.32673267326732,28357,"('laz-the-masada-myth-collective-memory-and-mythmaking-in-israel', 65.1685393258427, 248016)",laz-the-masada-myth-collective-memory-and-mythmaking-in-israel,65.1685393258427,248016,"('aberbach-the-masada-myth-collective-memory-and-mythology-in-israel', 61.53846153846154, 126699)"
9,bertram-carol-2020-remaking-history-the-pedagogic-device-and-shifting-discourses-in-the-south-african-school-history-curriculum-yesterday-and-today-23-1-29,"('horowitz-inequalities-democracy-and-fieldwork-in-the-chicago-schools-of-yesterday-and-today', 52.032520325203244, 160821)",horowitz-inequalities-democracy-and-fieldwork-in-the-chicago-schools-of-yesterday-and-today,52.032520325203244,160821,"('romm-nurturing-research-relationships-showing-care-and-catalysing-action-in-a-south-african-school-research-and-intervention-project', 50.87108013937283, 209628)",romm-nurturing-research-relationships-showing-care-and-catalysing-action-in-a-south-african-school-research-and-intervention-project,50.87108013937283,209628,"('gupta-freedom-of-the-void-hegel-and-nietzsche-on-the-politics-of-nihilism-toward-a-critical-understanding-of-9-11', 49.25373134328358, 263576)"
